job_id,user,job_name,tags,status,duration,submitted,sequence_id,cpu,ram,gpu
job_0089,joshualuna,Database Backup,"backup,encryption,geospatial,benchmarking,database",failed,60,2024-03-18,seq_118,4,16,4
job_0338,clong,Web Scraping,"automation,deployment,streaming,llm,scraping",completed,240,2024-03-18,seq_090,2,8,4
job_0027,cbell,Model Evaluation,"ml,evaluation,image,geospatial,api",running,180,2024-03-18,seq_128,2,64,0
job_0026,owilliams,Video Rendering,"video,rendering,image,llm,gpu",completed,60,2024-03-18,seq_027,4,32,2
job_0519,lreid,Report Generation,"geospatial,indexing,report,visualization",completed,240,2024-03-18,seq_030,8,16,1
job_0053,christopher96,Web Scraping,"pipeline,scraping,automation",completed,120,2024-03-18,seq_053,4,8,1
job_0572,owilliams,ETL Job,"etl,data pipeline,compression,nlp",completed,120,2024-03-18,seq_128,8,64,2
job_0783,joshualuna,Model Evaluation,"ml,evaluation,encryption,cloud",pending,30,2024-03-18,seq_012,4,32,4
job_0396,ian60,Log Analysis,"deployment,benchmarking,logs,monitoring",completed,30,2024-03-18,seq_151,4,32,1
job_0915,christopher96,Web Scraping,"automation,testing,cloud,indexing,scraping",completed,60,2024-03-18,seq_112,8,64,0
job_0316,jrusso,ML Model Training,"ml,training,image,gpu",completed,180,2024-03-18,seq_107,8,64,1
job_0979,gateschristopher,ML Model Training,"ml,training,image,streaming,llm,gpu",failed,240,2024-03-18,seq_035,16,64,1
job_0223,cory15,Report Generation,"report,forecasting,benchmarking,visualization,pipeline",completed,120,2024-03-18,seq_090,8,16,1
job_0698,burkeraymond,Database Backup,"encryption,backup,database",completed,60,2024-03-18,seq_041,2,8,0
job_0215,joshualuna,ML Model Training,"ml,training,image,gpu",running,30,2024-03-18,seq_128,4,32,1
job_0954,burkeraymond,Security Scan,"nlp,security,scan,indexing",completed,30,2024-03-18,seq_040,2,16,4
job_0435,clong,Database Backup,"encryption,backup,database",completed,180,2024-03-18,seq_101,16,32,2
job_0065,parsonsmackenzie,ETL Job,"etl,streaming,testing,data pipeline",running,180,2024-03-18,seq_193,8,32,2
job_0929,joshualuna,Report Generation,"report,compression,geospatial,streaming,visualization",completed,120,2024-03-18,seq_056,2,32,1
job_0648,morganlinda,Database Backup,"backup,llm,database,api",running,240,2024-03-18,seq_068,16,64,2
job_0287,danieljones,Video Rendering,"video,rendering,deployment,cloud,indexing,gpu",completed,30,2024-03-18,seq_176,2,8,4
job_0536,owilliams,Log Analysis,"logs,llm,indexing,monitoring",completed,30,2024-03-18,seq_097,4,64,2
job_0938,cameronstephen,ML Model Training,"ml,training,geospatial,gpu",failed,240,2024-03-18,seq_005,4,32,1
job_0678,burkeraymond,Video Rendering,"video,rendering,encryption,deployment,api,gpu",failed,60,2024-03-18,seq_103,4,64,2
job_0280,gateschristopher,Security Scan,"security,scan,llm",completed,30,2024-03-18,seq_106,16,64,2
job_0047,cory15,ML Model Training,"ml,training,forecasting,api,pipeline,gpu",completed,30,2024-03-18,seq_137,4,8,4
job_0963,gateschristopher,Web Scraping,"scraping,automation,cloud",running,30,2024-03-18,seq_144,2,32,1
job_0312,wongkenneth,Log Analysis,"logs,monitoring,encryption,deployment,indexing",completed,180,2024-03-18,seq_190,16,64,1
job_0002,wongkenneth,ETL Job,"etl,deployment,data pipeline",completed,180,2024-03-18,seq_050,16,64,4
job_0421,cory15,Report Generation,"report,testing,llm,visualization,api",failed,60,2024-03-18,seq_044,2,16,2
job_0067,morganlinda,Log Analysis,"testing,image,logs,monitoring",running,60,2024-03-18,seq_034,2,32,4
job_0073,cbell,Log Analysis,"benchmarking,logs,monitoring",running,180,2024-03-18,seq_170,4,32,2
job_0195,clong,Video Rendering,"video,rendering,deployment,indexing,gpu",running,180,2024-03-18,seq_173,8,32,4
job_0625,parsonsmackenzie,Web Scraping,"automation,encryption,llm,cloud,scraping",completed,240,2024-03-18,seq_026,16,32,1
job_0967,morganlinda,ETL Job,"etl,forecasting,indexing,data pipeline",completed,30,2024-03-18,seq_120,2,32,1
job_0004,parsonsmackenzie,Video Rendering,"compression,video,rendering,nlp,indexing,gpu",completed,60,2024-03-18,seq_172,4,16,1
job_0989,lreid,ETL Job,"etl,forecasting,benchmarking,data pipeline",completed,180,2024-03-18,seq_153,2,16,2
job_0766,lreid,ML Model Training,"ml,training,testing,gpu",running,60,2024-03-18,seq_141,2,32,1
job_0453,cory15,Web Scraping,"automation,geospatial,testing,llm,scraping",pending,120,2024-03-18,seq_197,4,8,1
job_0712,hannahfoster,ML Model Training,"ml,training,deployment,streaming,cloud,gpu",completed,120,2024-03-18,seq_080,8,8,2
job_0070,cbell,Web Scraping,"nlp,scraping,automation",completed,120,2024-03-18,seq_145,16,16,1
job_0816,gmitchell,ML Model Training,"ml,pipeline,training,gpu",completed,120,2024-03-18,seq_113,16,64,1
job_0432,burkeraymond,Report Generation,"report,api,visualization",completed,120,2024-03-18,seq_167,2,8,4
job_0671,hannahfoster,ML Model Training,"ml,training,forecasting,api,gpu,cloud",completed,180,2024-03-18,seq_132,16,64,2
job_0540,cameronstephen,Database Backup,"image,backup,database",completed,240,2024-03-18,seq_011,8,64,0
job_0523,cbell,Video Rendering,"rendering,pipeline,gpu,video",failed,180,2024-03-18,seq_064,16,16,1
job_0870,joshualuna,Log Analysis,"pipeline,logs,llm,monitoring",completed,180,2024-03-18,seq_118,16,32,1
job_0718,clong,Video Rendering,"nlp,rendering,gpu,video",completed,60,2024-03-18,seq_047,4,16,4
job_0777,cory15,Model Evaluation,"ml,evaluation,deployment,benchmarking,api",failed,180,2024-03-18,seq_114,16,16,0
job_0583,clong,Log Analysis,"testing,forecasting,logs,monitoring",completed,180,2024-03-18,seq_031,8,64,4
job_0866,lreid,ML Model Training,"ml,forecasting,training,gpu",completed,180,2024-03-18,seq_072,8,8,1
job_0146,christopher96,Video Rendering,"video,rendering,image,api,nlp,gpu",completed,60,2024-03-18,seq_023,16,64,2
job_0705,lreid,Web Scraping,"automation,image,streaming,api,scraping",completed,60,2024-03-18,seq_112,2,16,0
job_0802,christopher96,Data Preprocessing,"streaming,data,llm,preprocessing",completed,60,2024-03-18,seq_025,2,32,4
job_0867,michaelpatterson,Data Preprocessing,"testing,indexing,data,preprocessing",completed,240,2024-03-18,seq_063,8,32,4
job_0741,cameronstephen,ML Model Training,"ml,training,streaming,nlp,indexing,gpu",completed,30,2024-03-18,seq_018,16,16,2
job_0754,christopher96,Data Preprocessing,"data,preprocessing,forecasting,api,pipeline",completed,120,2024-03-18,seq_012,16,32,4
job_0175,gateschristopher,Security Scan,"compression,testing,scan,llm,security",completed,180,2024-03-18,seq_043,8,32,2
job_0138,christopher96,Report Generation,"image,report,visualization",completed,30,2024-03-18,seq_189,8,64,1
job_0574,morganlinda,Data Preprocessing,"forecasting,streaming,data,preprocessing",completed,30,2024-03-18,seq_038,2,16,0
job_0122,morganlinda,Model Evaluation,"ml,evaluation,benchmarking,api",completed,180,2024-03-18,seq_128,16,8,2
job_0815,morganlinda,Web Scraping,"forecasting,scraping,automation,cloud",completed,120,2024-03-18,seq_158,2,64,4
job_0052,parsonsmackenzie,Log Analysis,"nlp,logs,monitoring",completed,60,2024-03-18,seq_086,2,16,1
job_0307,lreid,Log Analysis,"logs,llm,monitoring",completed,180,2024-03-18,seq_117,16,16,1
job_0413,clong,ML Model Training,"ml,training,llm,nlp,pipeline,gpu",running,240,2024-03-18,seq_133,8,64,1
job_0231,lreid,Data Preprocessing,"data,preprocessing,forecasting,api,nlp",completed,30,2024-03-18,seq_049,4,8,1
job_0622,christopher96,ML Model Training,"ml,training,gpu,compression",completed,180,2024-03-18,seq_055,16,32,1
job_0173,christopher96,Report Generation,"llm,report,compression,visualization",completed,180,2024-03-18,seq_125,8,16,2
job_0290,joshualuna,Security Scan,"security,image,scan",completed,60,2024-03-18,seq_063,8,32,0
job_0210,hannahfoster,ETL Job,"etl,benchmarking,data pipeline,api",completed,240,2024-03-18,seq_134,8,8,4
job_0054,wongkenneth,Database Backup,"backup,compression,database",running,30,2024-03-18,seq_091,2,64,4
job_0005,lreid,ML Model Training,"ml,training,deployment,gpu",completed,30,2024-03-18,seq_097,4,32,1
job_0093,ian60,ML Model Training,"ml,training,testing,gpu",completed,240,2024-03-18,seq_037,8,16,1
job_0274,joshualuna,Model Evaluation,"ml,evaluation,indexing",completed,240,2024-03-18,seq_155,4,32,0
job_0895,lreid,Report Generation,"report,encryption,geospatial,visualization,indexing",completed,120,2024-03-18,seq_124,2,32,2
job_0227,christopher96,Data Preprocessing,"encryption,indexing,data,preprocessing",completed,30,2024-03-18,seq_005,8,32,1
job_0544,ian60,Security Scan,"forecasting,security,scan,streaming",completed,240,2024-03-18,seq_149,16,8,1
job_0931,burkeraymond,Database Backup,"deployment,forecasting,backup,database",failed,30,2024-03-18,seq_054,4,8,1
job_0186,gateschristopher,ETL Job,"etl,streaming,testing,data pipeline",completed,180,2024-03-18,seq_047,4,16,0
job_0332,ian60,Security Scan,"encryption,security,scan",completed,180,2024-03-18,seq_118,4,8,1
job_0547,ian60,Web Scraping,"streaming,testing,scraping,automation",completed,240,2024-03-18,seq_075,2,64,2
job_0069,clong,Web Scraping,"forecasting,scraping,automation",completed,30,2024-03-18,seq_195,8,64,2
job_0737,danieljones,Security Scan,"security,scan,llm",running,30,2024-03-18,seq_024,4,64,1
job_0790,nicoleortiz,Web Scraping,"testing,scraping,automation,api",completed,120,2024-03-18,seq_036,4,16,0
job_0351,nicoleortiz,Video Rendering,"video,rendering,image,indexing,gpu",completed,60,2024-03-18,seq_171,16,16,4
job_0199,gmitchell,ETL Job,"etl,image,data pipeline,deployment,llm",running,180,2024-03-18,seq_012,16,64,4
job_0485,danieljones,Data Preprocessing,"forecasting,image,data,preprocessing",completed,30,2024-03-18,seq_137,4,64,0
job_0640,christopher96,Log Analysis,"pipeline,logs,geospatial,monitoring",completed,60,2024-03-18,seq_172,2,32,4
job_0725,michaelpatterson,Data Preprocessing,"data,preprocessing,forecasting,testing,nlp",completed,120,2024-03-18,seq_054,2,16,0
job_0884,morganlinda,Model Evaluation,"ml,evaluation,compression,forecasting,image",failed,120,2024-03-18,seq_139,8,64,0
job_0178,hannahfoster,Log Analysis,"logs,cloud,monitoring",failed,60,2024-03-18,seq_173,16,8,0
